linha_id,linha,sistema,subsistema,operador,fase,etapa,status,placemark,segmento,ordem_ponto,latitude,longitude,origem_aba,cidade,estacao_id,distrito
linha_06_laranja,Linha 06 - Laranja,Sistema Metropolitano,Em andamento - Subsistema secundário,Em andamento - Subsistema secundário,,,em construção,Linha 06 - Traçado,1,635,-23.5451716554917,-46.66432267515611,metropolitano,São Paulo,estacao_agregada_0177,kml_84
linha_06_laranja,Linha 06 - Laranja,Sistema Metropolitano,Em andamento - Subsistema secundário,Em andamento - Subsistema secundário,,,em construção,Linha 06 - Traçado,1,636,-23.5452254348602,-46.66428347539999,metropolitano,São Paulo,estacao_agregada_0177,kml_84
linha_06_laranja,Linha 06 - Laranja,Sistema Metropolitano,Em andamento - Subsistema secundário,Em andamento - Subsistema secundário,,,em construção,Linha 06 - Traçado,1,637,-23.5452832180616,-46.664239512587,metropolitano,São Paulo,estacao_agregada_0177,kml_84
linha_06_laranja,Linha 06 - Laranja,Sistema Metropolitano,Em andamento - Subsistema secundário,Em andamento - Subsistema secundário,,,em construção,Linha 06 - Traçado,1,638,-23.5453360556802,-46.6641973573053,metropolitano,São Paulo,estacao_agregada_0177,kml_84
linha_06_laranja,Linha 06 - Laranja,Sistema Metropolitano,Em andamento - Subsistema secundário,Em andamento - Subsistema secundário,,,em construção,Linha 06 - Traçado,1,639,-23.5454105250416,-46.6641342531936,metropolitano,São Paulo,estacao_agregada_0177,kml_84
linha_06_laranja,Linha 06 - Laranja,Sistema Metropolitano,Em andamento - Subsistema secundário,Em andamento - Subsistema secundário,,,em construção,Linha 06 - Traçado,1,640,-23.5454829324442,-46.6640683863072,metropolitano,São Paulo,estacao_agregada_0177,kml_84
linha_06_laranja,Linha 06 - Laranja,Sistema Metropolitano,Em andamento - Subsistema secundário,Em andamento - Subsistema secundário,,,em construção,Linha 06 - Traçado,1,641,-23.5455531908133,-46.6639998358507,metropolitano,São Paulo,estacao_agregada_0177,kml_84
linha_06_laranja,Linha 06 - Laranja,Sistema Metropolitano,Em andamento - Subsistema secundário,Em andamento - Subsistema secundário,,,em construção,Linha 06 - Traçado,1,642,-23.545621215658,-46.6639286842566,metropolitano,São Paulo,estacao_agregada_0177,kml_84
linha_06_laranja,Linha 06 - Laranja,Sistema Metropolitano,Em andamento - Subsistema secundário,Em andamento - Subsistema secundário,,,em construção,Linha 06 - Traçado,1,643,-23.5456869251734,-46.6638550170855,metropolitano,São Paulo,estacao_agregada_0177,kml_84
linha_06_laranja,Linha 06 - Laranja,Sistema Metropolitano,Em andamento - Subsistema secundário,Em andamento - Subsistema secundário,,,em construção,Linha 06 - Traçado,1,644,-23.5457502403387,-46.6637789229238,metropolitano,São Paulo,angelica,kml_84
linha_06_laranja,Linha 06 - Laranja,Sistema Metropolitano,Em andamento - Subsistema secundário,Em andamento - Subsistema secundário,,,em construção,Linha 06 - Traçado,1,645,-23.5458110850126,-46.6637004932767,metropolitano,São Paulo,angelica,kml_84
linha_06_laranja,Linha 06 - Laranja,Sistema Metropolitano,Em andamento - Subsistema secundário,Em andamento - Subsistema secundário,,,em construção,Linha 06 - Traçado,1,646,-23.5458693860243,-46.6636198224586,metropolitano,São Paulo,angelica,kml_84
linha_06_laranja,Linha 06 - Laranja,Sistema Metropolitano,Em andamento - Subsistema secundário,Em andamento - Subsistema secundário,,,em construção,Linha 06 - Traçado,1,647,-23.5459250732621,-46.6635370074795,metropolitano,São Paulo,angelica,kml_84
linha_06_laranja,Linha 06 - Laranja,Sistema Metropolitano,Em andamento - Subsistema secundário,Em andamento - Subsistema secundário,,,em construção,Linha 06 - Traçado,1,648,-23.5459780797573,-46.6634521479282,metropolitano,São Paulo,angelica,kml_84
