estacao_id,nome_da_estacao,sistema,subsistema,operador,linha,fase,etapa,status,servico_expresso,latitude,longitude,origem_aba,cidade,distrito
estacao_agregada_0163,Estação agregada 163,Sistema Metropolitano,Em andamento - Subsistema secundário,Em andamento - Subsistema secundário,Linha 06 - Laranja,,,em construção,,-23.4811503853347,-46.6989032973774,dados,São Paulo,kml_61
estacao_agregada_0164,Estação agregada 164,Sistema Metropolitano,Em andamento - Subsistema secundário,Em andamento - Subsistema secundário,Linha 06 - Laranja,,,em construção,,-23.4822376773207,-46.6961795338959,dados,São Paulo,kml_61
estacao_agregada_0165,Estação agregada 165,Sistema Metropolitano,Em andamento - Subsistema secundário,Em andamento - Subsistema secundário,Linha 06 - Laranja,,,em construção,,-23.4877071931436,-46.69223322405469,dados,São Paulo,kml_61
estacao_agregada_0166,Estação agregada 166,Sistema Metropolitano,Em andamento - Subsistema secundário,Em andamento - Subsistema secundário,Linha 06 - Laranja,,,em construção,,-23.4900804418715,-46.69073197371181,dados,São Paulo,kml_61
estacao_agregada_0167,Estação agregada 167,Sistema Metropolitano,Em andamento - Subsistema secundário,Em andamento - Subsistema secundário,Linha 06 - Laranja,,,em construção,,-23.4965836175135,-46.692674504482,dados,São Paulo,kml_61
estacao_agregada_0168,Estação agregada 168,Sistema Metropolitano,Em andamento - Subsistema secundário,Em andamento - Subsistema secundário,Linha 06 - Laranja,,,em construção,,-23.5048764969088,-46.69407453042909,dados,São Paulo,kml_61
estacao_agregada_0169,Estação agregada 169,Sistema Metropolitano,Em andamento - Subsistema secundário,Em andamento - Subsistema secundário,Linha 06 - Laranja,,,em construção,,-23.5081450093198,-46.69366499893899,dados,São Paulo,kml_61
estacao_agregada_0170,Estação agregada 170,Sistema Metropolitano,Em andamento - Subsistema secundário,Em andamento - Subsistema secundário,Linha 06 - Laranja,,,em construção,,-23.5108374735643,-46.69329380869309,dados,São Paulo,kml_77
estacao_agregada_0171,Estação agregada 171,Sistema Metropolitano,Em andamento - Subsistema secundário,Em andamento - Subsistema secundário,Linha 06 - Laranja,,,em construção,,-23.5180433778976,-46.6894676409737,dados,São Paulo,kml_77
estacao_agregada_0172,Estação agregada 172,Sistema Metropolitano,Em andamento - Subsistema secundário,Em andamento - Subsistema secundário,Linha 06 - Laranja,,,em construção,,-23.5248215787865,-46.6859091060993,dados,São Paulo,kml_45
estacao_agregada_0173,Estação agregada 173,Sistema Metropolitano,Em andamento - Subsistema secundário,Em andamento - Subsistema secundário,Linha 06 - Laranja,,,em construção,,-23.5289953108724,-46.6806186962676,dados,São Paulo,kml_83
estacao_agregada_0174,Estação agregada 174,Sistema Metropolitano,Em andamento - Subsistema secundário,Em andamento - Subsistema secundário,Linha 06 - Laranja,,,em construção,,-23.5340423276448,-46.6740738323992,dados,São Paulo,kml_83
estacao_agregada_0175,Estação agregada 175,Sistema Metropolitano,Em andamento - Subsistema secundário,Em andamento - Subsistema secundário,Linha 06 - Laranja,,,em construção,,-23.5363340338767,-46.67246045765449,dados,São Paulo,kml_83
estacao_agregada_0176,Estação agregada 176,Sistema Metropolitano,Em andamento - Subsistema secundário,Em andamento - Subsistema secundário,Linha 06 - Laranja,,,em construção,,-23.5408035180973,-46.6665582309034,dados,São Paulo,kml_83
estacao_agregada_0177,Estação agregada 177,Sistema Metropolitano,Em andamento - Subsistema secundário,Em andamento - Subsistema secundário,Linha 06 - Laranja,,,em construção,,-23.5434327392188,-46.665395420282,dados,São Paulo,kml_84
estacao_agregada_0178,Estação agregada 178,Sistema Metropolitano,Em andamento - Subsistema secundário,Em andamento - Subsistema secundário,Linha 06 - Laranja,,,em construção,,-23.5482191457482,-46.6571293852156,dados,São Paulo,kml_84
estacao_agregada_0179,Estação agregada 179,Sistema Metropolitano,Em andamento - Subsistema secundário,Em andamento - Subsistema secundário,Linha 06 - Laranja,,,em construção,,-23.5529863353312,-46.6515738278848,dados,São Paulo,kml_60
estacao_agregada_0180,Estação agregada 180,Sistema Metropolitano,Em andamento - Subsistema secundário,Em andamento - Subsistema secundário,Linha 06 - Laranja,,,em construção,,-23.5585127530179,-46.64891877308771,dados,São Paulo,kml_60
estacao_agregada_0181,Estação agregada 181,Sistema Metropolitano,Em andamento - Subsistema secundário,Em andamento - Subsistema secundário,Linha 06 - Laranja,,,em construção,,-23.5609890832227,-46.64769971552871,dados,São Paulo,kml_60
estacao_agregada_0182,Estação agregada 182,Sistema Metropolitano,Em andamento - Subsistema secundário,Em andamento - Subsistema secundário,Linha 04 - Amarela,Extensão Sudoeste,,em construção,,-23.5948789655412,-46.7380263600249,dados,São Paulo,kml_14
estacao_agregada_0183,Estação agregada 183,Sistema Metropolitano,Em andamento - Subsistema secundário,Em andamento - Subsistema secundário,Linha 04 - Amarela,Extensão Sudoeste,,em construção,,-23.5971955272033,-46.74017520002489,dados,São Paulo,kml_14
estacao_agregada_0184,Estação agregada 184,Sistema Metropolitano,Em andamento - Subsistema secundário,Em andamento - Subsistema secundário,Linha 04 - Amarela,Extensão Sudoeste,,em construção,,-23.6045579759979,-46.7456709600249,dados,São Paulo,kml_14
estacao_agregada_0185,Estação agregada 185,Sistema Metropolitano,Em andamento - Subsistema secundário,Em andamento - Subsistema secundário,Linha 04 - Amarela,Extensão Sudoeste,,em construção,,-23.6063177043339,-46.74832200002489,dados,São Paulo,kml_14
estacao_agregada_0186,Estação agregada 186,Sistema Metropolitano,Em andamento - Subsistema secundário,Em andamento - Subsistema secundário,Linha 04 - Amarela,Extensão Sudoeste,,em construção,,-23.6075469765982,-46.75180032002491,dados,São Paulo,kml_14
estacao_agregada_0187,Estação agregada 187,Sistema Metropolitano,Em andamento - Subsistema secundário,Em andamento - Subsistema secundário,Linha 04 - Amarela,Extensão Sudoeste,,em construção,,-23.6086202094414,-46.7570340000249,dados,São Paulo,
estacao_agregada_0361,Estação agregada 361,Sistema Metropolitano,Em andamento -  Sistema leve,Em andamento -  Sistema leve,Linha 15 - Prata,Extensão Leste,,em construção,,-23.5985904926352,-46.4649282000249,dados,São Paulo,kml_54
