estacao_id,nome_da_estacao,sistema,subsistema,operador,linha,fase,etapa,status,servico_expresso,latitude,longitude,origem_aba,cidade,distrito
wanda,Wanda,Sistema Metropolitano,Propostas - Subsistema secundário,Propostas - Subsistema secundário,Linha 04 - Amarela,Extensão Sudoeste,Etapa Única,desconhecido,Não,-23.6168160149755,-46.77662142978416,dados,São Paulo,
laurita_ortega,Laurita Ortega,Sistema Metropolitano,Propostas - Subsistema secundário,Propostas - Subsistema secundário,Linha 04 - Amarela,Extensão Sudoeste,Etapa Única,desconhecido,Não,-23.62393498706972,-46.78156135009065,dados,São Paulo,
jose_maria_da_cunha,José Maria da Cunha,Sistema Metropolitano,Propostas - Subsistema secundário,Propostas - Subsistema secundário,Linha 04 - Amarela,Extensão Sudoeste,Etapa Única,desconhecido,Não,-23.62683354268238,-46.78967098445825,dados,São Paulo,
olarias,Olarias,Sistema Metropolitano,Propostas - Subsistema secundário,Propostas - Subsistema secundário,Linha 04 - Amarela,Extensão Sudoeste,Etapa Única,desconhecido,Não,-23.63344507502116,-46.79512090757169,dados,São Paulo,
alto_de_taboao,Alto de Taboão,Sistema Metropolitano,Propostas - Subsistema secundário,Propostas - Subsistema secundário,Linha 04 - Amarela,Extensão Sudoeste,Etapa Única,desconhecido,Não,-23.63961053611963,-46.7987830674855,dados,São Paulo,
jardim_vitoria,Jardim Vitória,Sistema Metropolitano,Propostas - Subsistema secundário,Propostas - Subsistema secundário,Linha 04 - Amarela,Extensão Sudoeste,Etapa Única,desconhecido,Não,-23.6472354095029,-46.79835278773588,dados,São Paulo,
macedonia,Macedônia,Sistema Metropolitano,Propostas - Subsistema secundário,Propostas - Subsistema secundário,Linha 04 - Amarela,Extensão Sudoeste,Etapa Única,desconhecido,Não,-23.65286292589886,-46.79461053103125,dados,São Paulo,
caninde,Canindé,Sistema Metropolitano,Propostas - Subsistema secundário,Propostas - Subsistema secundário,Linha 04 - Amarela,Fase I - Extensão até Vila Medeiros,Etapa Única,desconhecido,Não,-23.53043908940471,-46.62025453299734,dados,São Paulo,kml_92
bom_jardim,Bom Jardim,Sistema Metropolitano,Propostas - Subsistema secundário,Propostas - Subsistema secundário,Linha 04 - Amarela,Fase I - Extensão até Vila Medeiros,Etapa Única,desconhecido,Não,-23.52411202401434,-46.61730180537315,dados,São Paulo,kml_92
vila_guilherme,Vila Guilherme,Sistema Metropolitano,Propostas - Subsistema secundário,Propostas - Subsistema secundário,Linha 04 - Amarela,Fase I - Extensão até Vila Medeiros,Etapa Única,desconhecido,Não,-23.51394341927114,-46.61219826612174,dados,São Paulo,kml_39
trote,Trote,Sistema Metropolitano,Propostas - Subsistema secundário,Propostas - Subsistema secundário,Linha 04 - Amarela,Fase I - Extensão até Vila Medeiros,Etapa Única,desconhecido,Não,-23.51016351985751,-46.59567569922077,dados,São Paulo,kml_39
vila_maria_alta,Vila Maria Alta,Sistema Metropolitano,Propostas - Subsistema secundário,Propostas - Subsistema secundário,Linha 04 - Amarela,Fase I - Extensão até Vila Medeiros,Etapa Única,desconhecido,Não,-23.4992852760066,-46.59407726182077,dados,São Paulo,kml_95
vila_ede,Vila Ede,Sistema Metropolitano,Propostas - Subsistema secundário,Propostas - Subsistema secundário,Linha 04 - Amarela,Fase I - Extensão até Vila Medeiros,Etapa Única,desconhecido,Não,-23.49247785628157,-46.59048351824755,dados,São Paulo,kml_95
vila_medeiros,Vila Medeiros,Sistema Metropolitano,Propostas - Subsistema secundário,Propostas - Subsistema secundário,Linha 04 - Amarela,Fase I - Extensão até Vila Medeiros,Etapa Única,desconhecido,Não,-23.48689350043852,-46.58165009556996,dados,São Paulo,kml_95
jd_brasil,Jd. Brasil,Sistema Metropolitano,Propostas - Subsistema secundário,Propostas - Subsistema secundário,Linha 04 - Amarela,Fase II - Extensão até Torres Tibagy,Etapa Única,desconhecido,Não,-23.47990233051964,-46.57343943652926,dados,São Paulo,kml_95
edu_chaves,Edu Chaves,Sistema Metropolitano,Propostas - Subsistema secundário,Propostas - Subsistema secundário,Linha 04 - Amarela,Fase II - Extensão até Torres Tibagy,Etapa Única,desconhecido,Não,-23.47323522831309,-46.56513819026296,dados,São Paulo,kml_90
vila_galvao,Vila Galvão,Sistema Metropolitano,Propostas - Subsistema secundário,Propostas - Subsistema secundário,Linha 04 - Amarela,Fase II - Extensão até Torres Tibagy,Etapa Única,desconhecido,Não,-23.46655290077303,-46.55931593130336,dados,São Paulo,
torres_tibagy,Torres Tibagy,Sistema Metropolitano,Propostas - Subsistema secundário,Propostas - Subsistema secundário,Linha 04 - Amarela,Fase II - Extensão até Torres Tibagy,Etapa Única,desconhecido,Não,-23.45517693267756,-46.55343085541337,dados,São Paulo,
vila_carioca,Vila Carioca,Sistema Metropolitano,Propostas - Subsistema secundário,Propostas - Subsistema secundário,Linha 04 - Amarela,Fase III - Extensão até Pq. Adriana,Etapa Única,desconhecido,Não,-23.44365920765688,-46.55083623453182,dados,São Paulo,
picanco,Picanço,Sistema Metropolitano,Propostas - Subsistema secundário,Propostas - Subsistema secundário,Linha 04 - Amarela,Fase III - Extensão até Pq. Adriana,Etapa Única,desconhecido,Não,-23.43817225098072,-46.54658056060562,dados,São Paulo,
pq_adriana,Pq. Adriana,Sistema Metropolitano,Propostas - Subsistema secundário,Propostas - Subsistema secundário,Linha 04 - Amarela,Fase III - Extensão até Pq. Adriana,Etapa Única,desconhecido,Não,-23.43433107375279,-46.53699748860025,dados,São Paulo,
paes_de_barros,Paes de Barros,Sistema Metropolitano,Propostas - Subsistema secundário,Propostas - Subsistema secundário,Linha 05 - Lilás,Fase I - Extensão para Bresser,Etapa Única,desconhecido,Não,-23.56403044917101,-46.59545187009957,dados,São Paulo,kml_63
pq_da_mooca,Pq. da Mooca,Sistema Metropolitano,Propostas - Subsistema secundário,Propostas - Subsistema secundário,Linha 05 - Lilás,Fase I - Extensão para Bresser,Etapa Única,desconhecido,Não,-23.56966253635042,-46.58842348960146,dados,São Paulo,kml_63
curupace,Curupacê,Sistema Metropolitano,Propostas - Subsistema secundário,Propostas - Subsistema secundário,Linha 05 - Lilás,Fase I - Extensão para Bresser,Etapa Única,desconhecido,Não,-23.56055433738907,-46.59931057119436,dados,São Paulo,kml_63
trilhos,Trilhos,Sistema Metropolitano,Propostas - Subsistema secundário,Propostas - Subsistema secundário,Linha 05 - Lilás,Fase I - Extensão para Bresser,Etapa Única,desconhecido,Não,-23.55438608662149,-46.59978838534763,dados,São Paulo,kml_63
curupace,Curupacê,Sistema Metropolitano,Propostas - Subsistema secundário,Propostas - Subsistema secundário,Linha 05 - Lilás,Fase I - Extensão para Bresser,Etapa Única,desconhecido,Não,-23.56055433738907,-46.59931057119436,dados,São Paulo,kml_63
bresser,Bresser,Sistema Metropolitano,Propostas - Subsistema secundário,Propostas - Subsistema secundário,Linha 05 - Lilás,Fase I - Extensão para Bresser,Etapa Única,desconhecido,Não,-23.54649640630809,-46.60611825949426,dados,São Paulo,kml_63
carlos_botelho,Carlos Botelho,Sistema Metropolitano,Propostas - Subsistema secundário,Propostas - Subsistema secundário,Linha 05 - Lilás,Fase II - Extensão para Zaki Narchi,Etapa Única,desconhecido,Não,-23.53880002674479,-46.60862545713854,dados,São Paulo,kml_88
pari,Pari,Sistema Metropolitano,Propostas - Subsistema secundário,Propostas - Subsistema secundário,Linha 05 - Lilás,Fase II - Extensão para Zaki Narchi,Etapa Única,desconhecido,Não,-23.52985819995971,-46.60369505543835,dados,São Paulo,kml_49
pizotti,Pizotti,Sistema Metropolitano,Propostas - Subsistema secundário,Propostas - Subsistema secundário,Linha 05 - Lilás,Fase II - Extensão para Zaki Narchi,Etapa Única,desconhecido,Não,-23.52063554631945,-46.60456332775588,dados,São Paulo,kml_39
vila_guilherme,Vila Guilherme,Sistema Metropolitano,Propostas - Subsistema secundário,Propostas - Subsistema secundário,Linha 05 - Lilás,Fase II - Extensão para Zaki Narchi,Etapa Única,desconhecido,Não,-23.51417014115635,-46.61181719874401,dados,São Paulo,kml_39
zaki_narchi,Zaki Narchi,Sistema Metropolitano,Propostas - Subsistema secundário,Propostas - Subsistema secundário,Linha 05 - Lilás,Fase II - Extensão para Zaki Narchi,Etapa Única,desconhecido,Não,-23.50212049205898,-46.61468319584578,dados,São Paulo,kml_39
jardim_sao_paulo,Jardim São Paulo,Sistema Metropolitano,Propostas - Subsistema secundário,Propostas - Subsistema secundário,Linha 05 - Lilás,Fase III - Extensão para Tremembé,Etapa Única,desconhecido,Não,-23.49310167610262,-46.61597782131579,dados,São Paulo,kml_51
