route_id,route_short_name,route_long_name,agency_id,sistema,subsistema,status,grupo_mode,lote_mode,empresa_mode,consorcio_operador,area_operacional_num_1a9,nome,area_operacional_hex_cor,cidade
6840-10,6840-10,Term. Jd. Jacira - Term. Capelinha,1,onibus,municipal,existente,GRUPO ESTRUTURAL,E07,Metr¿pole,,,,,São Paulo
6913-10,6913-10,Term. Varginha - Term. Bandeira,1,onibus,municipal,existente,GRUPO ESTRUTURAL,E06,Graja¿,,,,,São Paulo
6913-21,6913-21,Term. Varginha - Itaim Bibi,1,onibus,municipal,existente,GRUPO ESTRUTURAL,E06,Graja¿,,,,,São Paulo
695D-10,695D-10,Jd. Sta. Barbara - Metrô Jabaquara,1,onibus,municipal,existente,GRUPO ARTICULACAO,AR6,MobiBrasil,Mobibrasil,6.0,Área 6,#00BFD0,São Paulo
695H-10,695H-10,Jd. Herplin - Term. Sto. Amaro,1,onibus,municipal,existente,GRUPO ESTRUTURAL,E06,Graja¿,,,,,São Paulo
695T-1,695T-1,Term. Capelinha - Metrô Vl. Mariana,1,onibus,municipal,existente,,,,,,,,São Paulo
695T-10,695T-10,Term. Capelinha - Metrô Vl. Mariana,1,onibus,municipal,existente,GRUPO ARTICULACAO,AR7,KBPX,KBPX,7.0,Área 7,#990000,São Paulo
695T-51,695T-51,Term. Capelinha - Metrô Vl. Mariana,1,onibus,municipal,existente,GRUPO ARTICULACAO,AR7,KBPX,KBPX,7.0,Área 7,#990000,São Paulo
695V-10,695V-10,Term. Capelinha - Metrô Ana Rosa,1,onibus,municipal,existente,GRUPO ARTICULACAO,AR7,KBPX,KBPX,7.0,Área 7,#990000,São Paulo
695X-10,695X-10,Term. Varginha - Metrô Jabaquara,1,onibus,municipal,existente,GRUPO ESTRUTURAL,E06,Graja¿,,,,,São Paulo
695X-22,695X-22,Term. Varginha - Shop. Interlagos,1,onibus,municipal,existente,GRUPO ESTRUTURAL,E06,Graja¿,,,,,São Paulo
695Y-10,695Y-10,Term. Parelheiros - Metrô Vl. Mariana,1,onibus,municipal,existente,GRUPO ESTRUTURAL,E06,Graja¿,,,,,São Paulo
695Y-21,695Y-21,Term. Parelheiros - Est. Autódromo,1,onibus,municipal,existente,GRUPO ESTRUTURAL,E06,Graja¿,,,,,São Paulo
695Y-23,695Y-23,Est. Mendes/vl. Natal - Parelheiros,1,onibus,municipal,existente,GRUPO ESTRUTURAL,E06,Graja¿,,,,,São Paulo
695Y-41,695Y-41,Term. Parelheiros - Col. Sta. Maria,1,onibus,municipal,existente,GRUPO ESTRUTURAL,E06,Graja¿,,,,,São Paulo
695Y-42,695Y-42,Term. Parelheiros - Est. Varginha,1,onibus,municipal,existente,,,,,,,,São Paulo
6960-10,6960-10,Term. Varginha - Term. Sto. Amaro,1,onibus,municipal,existente,GRUPO ESTRUTURAL,E06,Graja¿,,,,,São Paulo
6970-10,6970-10,Term. Grajaú - Term. Sto. Amaro,1,onibus,municipal,existente,GRUPO ESTRUTURAL,E06,Graja¿,,,,,São Paulo
6L01-10,6L01-10,Marsilac - Term. Varginha,1,onibus,municipal,existente,GRUPO DE DISTRIBUICAO,D10,TransWolf,Transwolff,,,,São Paulo
6L01-22,6L01-22,Vl. Progresso - Term. Varginha,1,onibus,municipal,existente,GRUPO DE DISTRIBUICAO,D10,TransWolf,Transwolff,,,,São Paulo
6L01-23,6L01-23,Embura - Term. Varginha,1,onibus,municipal,existente,GRUPO DE DISTRIBUICAO,D10,TransWolf,Transwolff,,,,São Paulo
6L02-10,6L02-10,Jd. Eucaliptos - Term. Parelheiros,1,onibus,municipal,existente,GRUPO DE DISTRIBUICAO,D10,TransWolf,Transwolff,,,,São Paulo
6L03-10,6L03-10,Cipó Do Meio - Term. Parelheiros,1,onibus,municipal,existente,GRUPO DE DISTRIBUICAO,D10,TransWolf,Transwolff,,,,São Paulo
6L04-10,6L04-10,Jd. Oriental/fontes - Term. Parelheiros,1,onibus,municipal,existente,GRUPO DE DISTRIBUICAO,D10,TransWolf,Transwolff,,,,São Paulo
6L04-41,6L04-41,Jd. Das Fontes - Term. Parelheiros,1,onibus,municipal,existente,GRUPO DE DISTRIBUICAO,D10,TransWolf,Transwolff,,,,São Paulo
6L04-42,6L04-42,Jd. Oriental - Term. Parelheiros,1,onibus,municipal,existente,GRUPO DE DISTRIBUICAO,D10,TransWolf,Transwolff,,,,São Paulo
6L05-10,6L05-10,Barragem - Term. Parelheiros,1,onibus,municipal,existente,GRUPO DE DISTRIBUICAO,D10,TransWolf,Transwolff,,,,São Paulo
6L05-21,6L05-21,Cid. Nova América - Term. Parelheiros,1,onibus,municipal,existente,GRUPO DE DISTRIBUICAO,D10,TransWolf,Transwolff,,,,São Paulo
6L07-10,6L07-10,Jd. Sta. Fé - Term. Varginha,1,onibus,municipal,existente,GRUPO DE DISTRIBUICAO,D10,TransWolf,Transwolff,,,,São Paulo
6L08-10,6L08-10,Jd. São Nicolau - Hosp. Parelheiros,1,onibus,municipal,existente,GRUPO DE DISTRIBUICAO,D10,TransWolf,Transwolff,,,,São Paulo
6L10-10,6L10-10,Term. Varginha - Pq. Florestal   ,1,onibus,municipal,existente,GRUPO DE DISTRIBUICAO,D10,TransWolf,Transwolff,,,,São Paulo
6L10-41,6L10-41,Messiânica - Term. Varginha,1,onibus,municipal,existente,GRUPO DE DISTRIBUICAO,D10,TransWolf,Transwolff,,,,São Paulo
6L11-10,6L11-10,Ilha Do Bororé - Term. Grajaú,1,onibus,municipal,existente,GRUPO DE DISTRIBUICAO,D10,TransWolf,Transwolff,,,,São Paulo
7001-10,7001-10,Vl. Gilda - Jd. âNgela,1,onibus,municipal,existente,GRUPO ESTRUTURAL,E07,Metr¿pole,,,,,São Paulo
7002-10,7002-10,Jd. Rosa Maria - Hosp. Das Clínicas,1,onibus,municipal,existente,GRUPO DE DISTRIBUICAO,D13,Alfa Rodobus,Alfa Rodobus,,,,São Paulo
7004-10,7004-10,Term. Jd. Jacira - Est. Sto. Amaro/guido Caloi,1,onibus,municipal,existente,GRUPO ESTRUTURAL,E07,Metr¿pole,,,,,São Paulo
7004-22,7004-22,Vl Do Sol - Jd âNgela,1,onibus,municipal,existente,,,,,,,,São Paulo
7005-10,7005-10,Jd. Vera Cruz - Jd. âNgela,1,onibus,municipal,existente,GRUPO DE DISTRIBUICAO,D11,TransWolf,Transwolff,,,,São Paulo
7005-51,7005-51,Jd. Vera Cruz - Metrô Capão Redondo ,1,onibus,municipal,existente,GRUPO DE DISTRIBUICAO,D11,TransWolf,Transwolff,,,,São Paulo
